2501|张护士|女|主管护师|3001|13720000001|N2501|1|0
2502|李护士|男|护师|3001|13720000002|N2502|1|0
2503|王护士|女|护士|3002|13720000003|N2503|1|0
2504|赵护士|男|主管护师|3002|13720000004|N2504|1|0
2505|刘护士|女|护师|3003|13720000005|N2505|1|0
2506|孙护士|男|护士|3003|13720000006|N2506|1|0
2507|周护士|女|主管护师|3004|13720000007|N2507|1|0
2508|吴护士|男|护师|3004|13720000008|N2508|1|0
2509|郑护士|女|护士|3005|13720000009|N2509|1|0
2510|钱护士|男|主管护师|3005|13720000010|N2510|1|0
2511|冯护士|女|护师|3006|13720000011|N2511|1|0
2512|陈护士|男|护士|3006|13720000012|N2512|1|0
